"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Adams County, PA"	"42001"	"2006"	"2006"	877	99899	877.9
	"Adams County, PA"	"42001"	"2007"	"2007"	921	100502	916.4
	"Adams County, PA"	"42001"	"2008"	"2008"	890	101056	880.7
	"Adams County, PA"	"42001"	"2009"	"2009"	863	101252	852.3
	"Adams County, PA"	"42001"	"2010"	"2010"	917	101407	904.3
	"Adams County, PA"	"42001"	"2011"	"2011"	941	101650	925.7
	"Adams County, PA"	"42001"	"2012"	"2012"	985	101535	970.1
	"Adams County, PA"	"42001"	"2013"	"2013"	980	101407	966.4
	"Adams County, PA"	"42001"	"2014"	"2014"	996	101612	980.2
"Total"	"Adams County, PA"	"42001"			8370	910320	919.5
	"Allegheny County, PA"	"42003"	"2006"	"2006"	14116	1226025	1151.4
	"Allegheny County, PA"	"42003"	"2007"	"2007"	13934	1222482	1139.8
	"Allegheny County, PA"	"42003"	"2008"	"2008"	14169	1221071	1160.4
	"Allegheny County, PA"	"42003"	"2009"	"2009"	13619	1222171	1114.3
	"Allegheny County, PA"	"42003"	"2010"	"2010"	13479	1223348	1101.8
	"Allegheny County, PA"	"42003"	"2011"	"2011"	13847	1227535	1128.0
	"Allegheny County, PA"	"42003"	"2012"	"2012"	13408	1230842	1089.3
	"Allegheny County, PA"	"42003"	"2013"	"2013"	13512	1233631	1095.3
	"Allegheny County, PA"	"42003"	"2014"	"2014"	13520	1232666	1096.8
"Total"	"Allegheny County, PA"	"42003"			123604	11039771	1119.6
	"Armstrong County, PA"	"42005"	"2006"	"2006"	832	70030	1188.1
	"Armstrong County, PA"	"42005"	"2007"	"2007"	838	69845	1199.8
	"Armstrong County, PA"	"42005"	"2008"	"2008"	827	69611	1188.0
	"Armstrong County, PA"	"42005"	"2009"	"2009"	866	69120	1252.9
	"Armstrong County, PA"	"42005"	"2010"	"2010"	776	68941	1125.6
	"Armstrong County, PA"	"42005"	"2011"	"2011"	827	68645	1204.7
	"Armstrong County, PA"	"42005"	"2012"	"2012"	856	68367	1252.1
	"Armstrong County, PA"	"42005"	"2013"	"2013"	817	68095	1199.8
	"Armstrong County, PA"	"42005"	"2014"	"2014"	845	67660	1248.9
"Total"	"Armstrong County, PA"	"42005"			7484	620314	1206.5
	"Beaver County, PA"	"42007"	"2006"	"2006"	2114	173259	1220.1
	"Beaver County, PA"	"42007"	"2007"	"2007"	2113	172161	1227.3
	"Beaver County, PA"	"42007"	"2008"	"2008"	2174	171336	1268.9
	"Beaver County, PA"	"42007"	"2009"	"2009"	2033	170524	1192.2
	"Beaver County, PA"	"42007"	"2010"	"2010"	1926	170539	1129.4
	"Beaver County, PA"	"42007"	"2011"	"2011"	2090	170354	1226.9
	"Beaver County, PA"	"42007"	"2012"	"2012"	2119	170250	1244.6
